Signal_Strength RTT Lost_Rate Bandwidth Throughput1 Framerate 
-79.58 110 7.2765 4382576 360.03 8.7868
-78.07 141 5.3996 4246293 298.15 29.4433
-74.71 65 4.6075 6944715 298.15 29.9272
-75.07 37 0.7339 9703169 561.22 29.9505
-72.46 33 1.2774 9462191 1100 29.9681
-74.70 88 1.4898 9746437 545.18 29.9691
-75.04 94 2.2222 7189860 545.18 29.9686
-73.89 61 2.4575 10895310 561.22 29.9364
-73.47 74 13.2997 2800249 615.53 29.9279
-75.26 115 1.6771 7155474 681.48 29.8397
-75.40 252 5.3985 3066451 465.4 25.5603
-73.56 99 2.6871 10242064 502.14 29.7193
-60.22 8 3.3435 43519238 1330 29.5985
-59.29 9 3.8270 40388895 867.34 29.9672
-55.75 9 3.2520 45041391 867.34 29.9536
-78.83 143 7.2805 4755404 293.56 7.6298
-78.98 257 6.8681 3305001 227.16 0.6489
-79.10 1285 18.2482 2716470 73.11 2.9591
-80.65 586 93.9079 1047080 73.11 0.8391
-79.21 208 21.2446 3164671 73.11 2.7763
-80.13 296 37.6712 2320535 73.11 0.6097
-80.03 414 90.5297 1574890 73.11 0.4777
-78.65 539 24.3119 2141172 64.46 2.6684
-80.62 177 60.3381 1206361 86.73 0.2443
-79.47 378 37.6652 1707168 114.95 1.8402
-80.06 184 26.4591 2551131 238.52 2.4782
-79.06 216 5.5690 5620405 443.75 12.9868
-77.75 71 4.0541 10613909 681.48 29.6714
-54.47 6 0.9772 47300196 1160 29.9700
-52.07 6 0.6494 51224487 1240 29.9655
-78.60 51 4.3554 7510026 454.32 29.8419
-78.98 68 5.5762 6007302 578.23 17.4425
-70.69 12 0.6568 17431424 1100 29.9579
-69.63 12 0.8170 17076950 1100 29.9525
-66.11 6 0.0000 19293515 1040 29.9659
-69.06 7 0.3125 16059132 1100 29.8993
-67.34 9 0.1621 20118757 1160 29.9570
-47.99 6 5.0975 38798414 908.64 29.9655
-35.58 6 0.3125 45273342 1240 29.9793
-36.12 6 0.1562 52238113 1330 29.9385
-35.02 5 0.4688 47008380 1330 29.9625
-59.00 7 0.4688 20050515 1100 29.9558
-58.31 6 0.3125 46395227 1160 29.9401
-60.28 6 0.6494 19472501 1160 29.9648
-77.53 252 9.7561 4739464 381.63 26.8975
-79.57 166 17.5439 1749008 489.27 16.3529
-78.76 205 9.1765 3144252 360.03 13.4118
-78.04 182 3.0568 4094501 298.15 27.0551
-76.19 61 1.6722 7038132 298.15 28.3515
-77.80 27 0.1631 11190578 561.22 29.9607
-76.89 108 1.7045 6068757 1100 29.4290
