x
Social.Progress.Index
Foundations.of.Wellbeing
Nutrition.and.Basic.Medical.Care
Health.and.Wellness
Ecosystem.Sustainability
Personal.Rights
Maternal.mortality.rate
Deaths.from.infectious.diseases
Availability.of.affordable.housing
Political.terror
Traffic.deaths
Gender.parity.in.secondary.enrollment
Mobile.telephone.subscriptions
Premature.deaths.from.non.communicable.diseases
Outdoor.air.pollution.attributable.deaths
Suicide.rate
Water.withdrawals.as.a.percentage.of.resources
Political.rights
Freedom.of.assembly.association
Early.marriage
Tolerance.for.immigrants
Tolerance.for.homosexuals
Community.safety.net
