Social.Progress.Index,Basic.Human.Needs,Foundations.of.Wellbeing,Opportunity,Nutrition.and.Basic.Medical.Care,Water.and.Sanitation,Shelter,Personal.Safety,Access.to.Basic.Knowledge,Access.to.Information.and.Communications,Health.and.Wellness,Ecosystem.Sustainability,Personal.Rights,Personal.Freedom.and.Choice,Tolerance.and.Inclusion,Access.to.Advanced.Education,t1
65.89,80.15,69.61,47.92,93.59,90.95,66.81,69.24,95.17,72.98,60.98,49.31,48.16,59.18,29.27,55.06,Georgia
84.04,94.12,81.5,76.49,99.25,100,88.8,88.41,97.62,91.66,71.24,65.48,79.83,84.85,70.56,70.73,Germany
58.29,55.5,68.43,50.93,80.17,41.44,45.69,54.69,76.45,70.01,70.37,56.9,78.63,57.56,44.08,23.46,Ghana
74.03,87.64,74.53,59.91,99.21,99.15,81.03,71.16,98.7,76.88,71.87,50.67,64.8,50.96,56.94,66.92,Greece
62.19,69.32,68.96,48.29,86.07,84.36,66.64,40.23,78.86,64,74.26,58.71,64.8,61.23,51.81,15.34,Guatemala
39.6,40,51.2,27.59,63.14,33.59,24.16,39.13,42.86,48.69,67.33,45.91,30.37,34.51,39.59,5.88,Guinea
60.42,68.8,60.57,51.89,86.54,84.72,56.14,47.79,87.27,61,48.68,45.31,59.63,55.42,55.32,37.21,Guyana
61.44,65.29,72.71,46.32,89.4,81.65,55.67,34.45,86.35,61.91,74.66,67.91,50.48,57.19,52.36,25.24,Honduras
74.8,88.8,70.4,65.21,98.99,98.42,78.75,79.06,96.4,82.13,49.13,53.95,68.28,70.7,60.13,61.72,Hungary
87.62,95,86.11,81.73,99.57,100,86.87,93.57,98.88,95.73,80.96,68.89,87.91,86.06,89.54,63.43,Iceland
53.06,58.87,57.38,42.93,81.78,54.53,48.1,51.06,80.32,51.43,55.45,42.3,55.07,56.25,28.22,32.19,India
60.47,66.52,69.54,45.35,89.13,53.78,66.38,56.78,90.63,62.36,71.5,53.66,49.28,57.74,32.2,42.18,Indonesia
56.82,78.42,61.14,30.9,96.43,90.4,73.69,53.14,91.89,47.8,68.58,36.3,5.75,48.02,31.94,37.9,Iran
48.35,63.11,55.29,26.67,81.75,73.29,75.48,21.91,69.59,56.39,62.4,32.8,13.8,33.45,29.92,29.49,Iraq
